"ScientificName","Family"
"Centropristis striata","Serranidae"
"Carcharhinus melanopterus","Carcharhinidae"
"Reinhardtius hippoglossoides","Pleuronectidae"
"Solea solea","Soleidae"
"Gadus morhua","Gadidae"
"Pollachius virens","Gadidae"
"Merlangius merlangus","Gadidae"
"Ammodytes tobianus","Ammodytidae"
"Limanda limanda","Pleuronectidae"
"Microstomus kitt","Pleuronectidae"
"Negaprion brevirostris","Carcharhinidae"
"Pleuronectes platessa","Pleuronectidae"
"Scyliorhinus canicula","Scyliorhinidae"
"Trachurus trachurus","Carangidae"
"Sphyrna lewini","Sphyrnidae"
"Melanogrammus aeglefinus","Gadidae"
"Morone saxatilis","Moronidae"
"Squalus suckleyi","Squalidae"
"Isurus oxyrinchus","Lamnidae"
"Mycteroperca microlepis","Serranidae"
"Heterodontus francisci","Heterodontidae"
"Dicentrarchus labrax","Moronidae"
"Triakis semifasciata","Triakidae"
"Engraulis ringens","Engraulidae"
"Sardinops sagax","Clupeidae"
"Micropogonias undulatus","Sciaenidae"
"Pomatomus saltatrix","Pomatomidae"
"Scophthalmus maximus","Scophthalmidae"
"Oncorhynchus gorbuscha","Salmonidae"
"Rostroraja eglanteria","Rajidae"
"Amblyraja radiata","Rajidae"
"Mallotus villosus","Osmeridae"
"Hemiscyllium ocellatum","Hemiscylliidae"
"Leucoraja erinacea","Rajidae"
"Heterodontus portusjacksoni","Heterodontidae"
"Notothenia neglecta","Nototheniidae"
"Anarhichas lupus","Anarhichadidae"
"Acanthochromis polyacanthus","Pomacentridae"
"Albula vulpes","Albulidae"
"Argyrosomus japonicus","Sciaenidae"
"Caesio teres","Caesionidae"
"Caranx caballus","Carangidae"
"Cheilinus fasciatus","Labridae"
"Chromis atripectoralis","Pomacentridae"
"Chromis ternatensis","Pomacentridae"
"Dascyllus aruanus","Pomacentridae"
"Dascyllus reticulatus","Pomacentridae"
"Forsterygion lapillum","Tripterygiidae"
"Gadus macrocephalus","Gadidae"
"Gasterosteus aculeatus","Gasterosteidae"
"Kuhlia sandvicensis","Kuhliidae"
"Leiostomus xanthurus","Sciaenidae"
"Pterocaesio marri","Caesionidae"
"Rhinecanthus aculeatus","Balistidae"
"Salmo trutta","Salmonidae"
"Scarus schlegeli","Scaridae"
"Scolopsis bilineata","Nemipteridae"
"Seriola lalandi","Carangidae"
"Stethojulis bandanensis","Labridae"
"Oncorhynchus mykiss","Salmonidae"
"Lates calcarifer","Latidae"
"Oplegnathus fasciatus","Oplegnathidae"
"Ostorhinchus cyanosoma","Apogonidae"
"Ostorhinchus doederleini","Apogonidae"
"Dascyllus melanurus","Pomacentridae"
"Cheilodipterus quinquelineatus","Apogonidae"
"Myoxocephalus scorpius","Cottidae"
"Myoxocephalus scorpioides","Cottidae"
"Gymnocanthus tricuspis","Cottidae"
"Sparus aurata","Sparidae"
"Boreogadus saida","Gadidae"
"Bathylagus antarcticus","Bathylagidae"
"Cyclothone microdon","Gonostomatidae"
"Poromitra crassiceps","Melamphaidae"
"Melanostigma gelatinosum","Zoarcidae"
"Benthalbella elongata","Scopelarchidae"
"Electrona antarctica","Myctophidae"
"Gymnoscopelus braueri","Myctophidae"
"Gymnoscopelus opisthopterus","Myctophidae"
"Cynomacrurus piriei","Myctophidae"
"Squalus acanthias","Squalidae"
"Carcharhinus leucas","Carcharhinidae"
"Katsuwonus pelamis","Scombridae"
"Thunnus albacares","Scombridae"
"Oncorhynchus nerka","Salmonidae"
"Oncorhynchus keta","Salmonidae"
"Polyprion oxygeneios","Polyprionidae"
"Acipenser brevirostrum","Acipenseridae"
"Salvelinus alpinus","Salmonidae"
"Cephalopholis argus","Serranidae"
"Chaetodon ornatissimus","Chaetodontidae"
"Chromis iomelas","Pomacentridae"
"Ctenochaetus striatus","Acanthuridae"
"Naso lituratus","Acanthuridae"
"Odonus niger","Balistidae"
"Zebrasoma scopas","Acanthuridae"
"Cyclopterus lumpus","Cyclopteridae"
"Salmo salar","Salmonidae"
"Melanogrammus aeglefinus","Gadidae"
"Rachycentron canadum","Rachycentridae"
"Anoplopoma fimbria","Anoplopomatidae"
"Pagrus auratus","Sparidae"
"Scomber japonicus","Scombridae"
"Pseudopleuronectes americanus","Pleuronectidae"
"Carcharhinus plumbeus","Carcharhinidae"
